,Unnamed: 0,Date,Symbol,Expiry,Option Type,Strike Price,Open_x,High_x,Low_x,Close_x,Last,Settle Price,Number of Contracts,Turnover_x,Premium Turnover,Open Interest,Change in OI,Underlying,Open_y,High_y,Low_y,Close_y,Volume,Turnover_y,AnnualVolatility365,AnnualVolatility254,logreturns,Days_to_Expiry,Range,UpperRange,LowerRange,Delta365,Theta365,Rho365,Vega365,Gamma365,CalcIV365,PositionUp,PositionDown,UpSafety,DownSafety
237,237,2017-10-31,BANKNIFTY,2017-11-09,PE,25000.0,229.9,255.9,202.85,219.55,213.5,219.55,1052.0,1061485000.0,9485000.0,28280.0,20560.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,-0.454482280611,-17.8792281644,-2.88961293073,15.5711889364,0.000401576924833,10.7941627502,26100,24000,26200,23900
238,238,2017-10-31,BANKNIFTY,2017-11-09,CE,25100.0,188.55,200.2,155.0,187.7,193.6,187.7,117.0,118326000.0,858000.0,1560.0,1560.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,0.5052451045,-25.9002102088,3.02063997398,15.6719621176,0.000404175839043,12.1803283691,26100,24000,26200,23900
239,239,2017-10-31,BANKNIFTY,2017-11-09,PE,25100.0,0.0,0.0,0.0,835.8,0.0,323.4,0.0,0.0,0.0,0.0,0.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,-0.4947548955,-17.6725363649,-3.15011540896,15.6719621176,0.000404175839043,53.5430908203,26100,24000,26200,23900
240,240,2017-10-31,BANKNIFTY,2017-11-09,CE,25200.0,170.05,170.05,120.0,151.15,153.5,151.15,722.0,731946000.0,4170000.0,15640.0,8640.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,0.465078821742,-25.5032411318,2.78438878912,15.6132317329,0.000402661197653,12.7191543579,26100,24000,26200,23900
241,241,2017-10-31,BANKNIFTY,2017-11-09,PE,25200.0,0.0,0.0,0.0,902.65,0.0,378.75,0.0,0.0,0.0,0.0,0.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,-0.534921178258,-17.2427877108,-3.41095127661,15.6132317329,0.000402661197653,60.8134269714,26100,24000,26200,23900
242,242,2017-10-31,BANKNIFTY,2017-11-09,CE,25300.0,99.45,125.15,99.45,116.4,115.0,116.4,176.0,178907000.0,795000.0,2480.0,2480.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,0.425421974397,-24.8916437201,2.55030250715,15.398650157,0.000397127194453,12.8936767578,26100,24000,26200,23900
243,243,2017-10-31,BANKNIFTY,2017-11-09,PE,25300.0,0.0,0.0,0.0,972.0,0.0,439.2,0.0,0.0,0.0,0.0,0.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,-0.574578025603,-16.5984107221,-3.66962224138,15.398650157,0.000397127194453,68.1381225586,26100,24000,26200,23900
244,244,2017-10-31,BANKNIFTY,2017-11-09,CE,25400.0,59.8,95.0,59.8,89.25,94.15,89.25,49.0,49955000.0,171000.0,880.0,880.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,0.386657716247,-24.0800594978,2.32076586755,15.0364299147,0.000387785628334,13.1387710571,26100,24000,26200,23900
245,245,2017-10-31,BANKNIFTY,2017-11-09,PE,25400.0,0.0,0.0,0.0,1043.85,0.0,504.55,0.0,0.0,0.0,0.0,0.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,-0.613342283753,-15.7540469227,-3.92374356378,15.0364299147,0.000387785628334,75.535774231,26100,24000,26200,23900
246,246,2017-10-31,BANKNIFTY,2017-11-09,CE,25500.0,75.0,75.05,54.1,64.9,69.0,64.9,4052.0,4143303000.0,10263000.0,80920.0,34360.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,0.349138584244,-23.0885685607,2.0979835193,14.5388523607,0.000374953232245,13.1378173828,26100,24000,26200,23900
247,247,2017-10-31,BANKNIFTY,2017-11-09,PE,25500.0,0.0,0.0,0.0,1119.2,0.0,574.6,0.0,0.0,0.0,0.0,0.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,-0.650861415756,-14.7297764085,-4.17111059484,14.5388523607,0.000374953232245,83.0917358398,26100,24000,26200,23900
248,248,2017-10-31,BANKNIFTY,2017-11-09,CE,25600.0,50.0,50.0,44.05,46.0,47.5,46.0,37.0,37956000.0,68000.0,1200.0,1200.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,0.313177511931,-21.941683368,1.88392362478,13.9216006007,0.000359034469417,13.1301879883,26100,24000,26200,23900
249,249,2017-10-31,BANKNIFTY,2017-11-09,PE,25600.0,0.0,0.0,0.0,1194.65,0.0,649.1,0.0,0.0,0.0,0.0,0.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,-0.686822488069,-13.5501116388,-4.40975517216,13.9216006007,0.000359034469417,90.5961990356,26100,24000,26200,23900
250,250,2017-10-31,BANKNIFTY,2017-11-09,CE,25700.0,27.7,40.0,27.7,30.05,30.05,30.05,178.0,183249000.0,265000.0,7040.0,7040.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,0.27904086668,-20.6671817545,1.68027377116,13.2029654545,0.000340501055349,12.9022598267,26100,24000,26200,23900
251,251,2017-10-31,BANKNIFTY,2017-11-09,PE,25700.0,0.0,0.0,0.0,1273.1,0.0,727.45,0.0,0.0,0.0,0.0,0.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,-0.72095913332,-12.2428304482,-4.63798970858,13.2029654545,0.000340501055349,98.2437133789,26100,24000,26200,23900
252,252,2017-10-31,BANKNIFTY,2017-11-09,CE,25800.0,0.0,0.0,0.0,137.05,0.0,68.35,0.0,0.0,0.0,0.0,0.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,0.246943714648,-19.2948563525,1.48841050184,12.4029785149,0.000319869599625,24.7182846069,26100,24000,26200,23900
253,253,2017-10-31,BANKNIFTY,2017-11-09,PE,25800.0,0.0,0.0,0.0,1353.55,0.0,809.35,0.0,0.0,0.0,0.0,0.0,25019.35,25042.1,25078.65,24948.1,25019.35,156985664.0,51927800000.0,25.1218335924,20.9566451914,0.00123180553051,9,986.96597197,26006.315972,24032.384028,-0.753056285352,-10.8377254691,-4.8544376607,12.4029785149,0.000319869599625,105.977058411,26100,24000,26200,23900
