,Unnamed: 0,Date,Symbol,Expiry,Option Type,Strike Price,Open_x,High_x,Low_x,Close_x,Last,Settle Price,Number of Contracts,Turnover_x,Premium Turnover,Open Interest,Change in OI,Underlying,Open_y,High_y,Low_y,Close_y,Volume,Turnover_y,AnnualVolatility365,AnnualVolatility254,logreturns,Days_to_Expiry,Range,UpperRange,LowerRange,Delta365,Theta365,Rho365,Vega365,Gamma365,CalcIV365
58,58,2017-08-28,BANKNIFTY,2017-09-07,CE,23800,0.0,0.0,0.0,432.05,0.0,660.2,0,0.0,0,0,0,24377.1,24351.25,24422.45,24301.35,24377.1,52177374,16857000000,16.73459971,13.96001081,0.0042301091,10,675.2287649,25052.32876,23701.87124,0.840737531459,-14.6935184541,5.41980336724,9.78781035135,0.000359251842341,1e-05
59,59,2017-08-28,BANKNIFTY,2017-09-07,PE,23800,0.0,0.0,0.0,100.0,100.0,42.55,0,0.0,0,40,0,24377.1,24351.25,24422.45,24301.35,24377.1,52177374,16857000000,16.73459971,13.96001081,0.0042301091,10,675.2287649,25052.32876,23701.87124,-0.159262468541,-6.89454358008,-1.07934236107,9.78781035135,0.000359251842341,1e-05
60,60,2017-08-28,BANKNIFTY,2017-09-07,CE,23900,575.0,575.0,575.0,575.0,575.0,575.0,1,979000.0,23000,40,40,24377.1,24351.25,24422.45,24301.35,24377.1,52177374,16857000000,16.73459971,13.96001081,0.0042301091,10,675.2287649,25052.32876,23701.87124,0.801257781039,-15.6301184463,5.17836324078,11.2534302828,0.000413045963974,10.7116699219
61,61,2017-08-28,BANKNIFTY,2017-09-07,PE,23900,70.05,98.25,65.9,74.25,79.4,74.25,97,93026000.0,294000,1280,1240,24377.1,24351.25,24422.45,24301.35,24377.1,52177374,16857000000,16.73459971,13.96001081,0.0042301091,10,675.2287649,25052.32876,23701.87124,-0.198742218961,-7.79837477036,-1.34808982252,11.2534302828,0.000413045963974,1e-05
62,62,2017-08-28,BANKNIFTY,2017-09-07,CE,24000,485.15,520.0,459.0,459.0,459.0,459.0,9,8818000.0,178000,320,200,24377.1,24351.25,24422.45,24301.35,24377.1,52177374,16857000000,16.73459971,13.96001081,0.0042301091,10,675.2287649,25052.32876,23701.87124,0.756592421493,-16.4574902172,4.90111383105,12.6398644762,0.000463933651861,6.16455078125
63,63,2017-08-28,BANKNIFTY,2017-09-07,PE,24000,100.05,114.85,82.65,95.3,97.85,95.3,2314,2230195000.0,8755000,77440,28680,24377.1,24351.25,24422.45,24301.35,24377.1,52177374,16857000000,16.73459971,13.96001081,0.0042301091,10,675.2287649,25052.32876,23701.87124,-0.243407578507,-8.59297773922,-1.65264656724,12.6398644762,0.000463933651861,1e-05
64,64,2017-08-28,BANKNIFTY,2017-09-07,CE,24100,330.25,330.25,330.25,330.25,330.25,330.25,1,977000.0,13000,40,40,24377.1,24351.25,24422.45,24301.35,24377.1,52177374,16857000000,16.73459971,13.96001081,0.0042301091,10,675.2287649,25052.32876,23701.87124,0.707216364513,-17.1176150286,4.59109348064,13.8734156215,0.00050920991955,1e-05
65,65,2017-08-28,BANKNIFTY,2017-09-07,PE,24100,0.0,0.0,0.0,671.45,0.0,107.2,0,0.0,0,0,0,24377.1,24351.25,24422.45,24301.35,24377.1,52177374,16857000000,16.73459971,13.96001081,0.0042301091,10,675.2287649,25052.32876,23701.87124,-0.292783635487,-9.22033374863,-1.98997425264,13.8734156215,0.00050920991955,29.5491218567
66,66,2017-08-28,BANKNIFTY,2017-09-07,CE,24200,331.8,388.6,331.8,337.0,337.0,337.0,199,195430000.0,2798000,4480,1400,24377.1,24351.25,24422.45,24301.35,24377.1,52177374,16857000000,16.73459971,13.96001081,0.0042301091,10,675.2287649,25052.32876,23701.87124,0.65386632509,-17.5579523635,4.25310696215,14.8844002542,0.0005463171048,11.2686157227
67,67,2017-08-28,BANKNIFTY,2017-09-07,PE,24200,175.0,175.0,103.1,144.0,144.5,144.0,301,293092000.0,1724000,6440,6320,24377.1,24351.25,24422.45,24301.35,24377.1,52177374,16857000000,16.73459971,13.96001081,0.0042301091,10,675.2287649,25052.32876,23701.87124,-0.34613367491,-9.62790228154,-2.35526810613,14.8844002542,0.0005463171048,1e-05
