,Date,Open,High,Low,Close,Volume,Turnover,AnnualVolatility365,AnnualVolatility254,logreturns
22,2017-02-02,20053.95,20146.9,19915.2,20070.3,116963782,32796400000.0,24.9624899589,20.8237206588,0.00247936691169
23,2017-02-03,20061.9,20229.65,20009.95,20196.8,113714035,30926600000.0,25.003316017,20.8577777753,0.00628306563682
24,2017-02-06,20307.15,20462.45,20298.05,20371.6,99281709,28538500000.0,24.5992024769,20.5206660734,0.00861759802028
25,2017-02-07,20367.3,20426.95,20281.5,20327.25,109432014,28356000000.0,19.9496260161,16.6419872413,-0.00217942362277
26,2017-02-08,20335.25,20362.8,20070.15,20245.4,85902788,26261700000.0,20.5031218942,17.1037137585,-0.0040347431601
27,2017-02-09,20312.65,20406.6,20000.35,20151.15,107559620,27632500000.0,21.5887013166,18.0093046144,-0.00466624852942
28,2017-02-10,20225.75,20310.0,20167.1,20213.9,117595817,33540800000.0,19.0575054104,15.8977798198,0.0031091278494
29,2017-02-13,20273.65,20308.7,20116.9,20251.8,108967330,31710100000.0,18.1707714843,15.1580659688,0.00187319191721
30,2017-02-14,20304.5,20314.05,20158.85,20258.1,69832338,21847000000.0,17.2130669632,14.3591484148,0.000311035082821
31,2017-02-15,20282.1,20368.2,20115.85,20163.7,74195087,22642100000.0,16.7308470638,13.9568803519,-0.00467075546457
32,2017-02-16,20243.25,20295.55,20088.2,20243.7,81485552,24959000000.0,8.84041135327,7.374675236,0.00395967592703
33,2017-02-17,20918.45,21042.35,20449.65,20551.35,197061810,1.738912e+11,9.00413825153,7.51125629019,0.0150829981788
34,2017-02-20,20494.85,20702.6,20472.4,20677.1,66182208,19000200000.0,12.1674241995,10.1500708897,0.00610017548329
35,2017-02-21,20695.9,20903.35,20619.25,20860.95,74587721,24728700000.0,11.6754630795,9.73967669611,0.00885218254378
36,2017-02-22,20937.6,20958.25,20829.65,20868.45,92261695,32345800000.0,12.1620520133,10.1455894095,0.000359458802703
37,2017-02-23,20887.65,21011.9,20828.4,20876.65,95406666,41170000000.0,11.4606086374,9.56044502117,0.000392860484486
38,2017-02-27,20853.45,20853.45,20584.75,20613.05,60499704,21474800000.0,10.4451698084,8.71336548079,-0.0127069391616
39,2017-02-28,20632.85,20681.3,20560.6,20607.25,76658515,19943900000.0,14.3490249058,11.969963207,-0.000281414741682
40,2017-03-01,20698.9,20833.75,20678.75,20783.75,75542256,22215700000.0,14.4129322058,12.0232747062,0.00852847574631
41,2017-03-02,20885.0,20905.0,20516.9,20560.05,81044163,25314800000.0,14.9283551802,12.4532407896,-0.0108215588818
42,2017-03-03,20572.85,20580.45,20423.35,20495.6,53179917,15301400000.0,16.5150561324,13.7768674572,-0.00313964352981
43,2017-03-06,20548.95,20727.5,20532.2,20663.65,56093806,17700900000.0,16.7197841879,13.9476516957,0.0081658890199
44,2017-03-07,20685.95,20701.25,20585.95,20627.5,47804156,16725800000.0,14.809781403,12.3543264899,-0.00175098098436
45,2017-03-08,20630.15,20715.2,20534.25,20676.55,63112788,24178600000.0,14.3684338112,11.9861541249,0.00237507087355
46,2017-03-09,20620.55,20780.25,20603.9,20721.35,59782379,20269100000.0,13.1907785162,11.0037535336,0.00216436183906
47,2017-03-10,20825.9,20876.95,20648.8,20727.55,53537238,19647700000.0,13.3045767257,11.0986840526,0.0002991635506
48,2017-03-14,21189.85,21274.45,21059.7,21102.7,98698328,34980100000.0,13.3015543777,11.0961628084,0.0179372611213
49,2017-03-15,21089.4,21216.9,21063.95,21157.9,75243419,23916100000.0,14.8884061638,12.4199153017,0.00261236382789
50,2017-03-16,21237.5,21289.8,21194.25,21249.9,73921069,23101900000.0,14.7834442812,12.3323560507,0.00433883126823
51,2017-03-17,21308.45,21336.05,21127.95,21175.05,92308641,37262300000.0,14.3156013502,11.9420812615,-0.00352858766658
52,2017-03-20,21202.55,21202.55,21084.8,21110.25,50376495,18376900000.0,12.1332216821,10.1215391339,-0.00306489729175
53,2017-03-21,21110.65,21146.5,20967.0,21019.0,72936344,24819600000.0,12.118088423,10.1089149621,-0.00433191394083
54,2017-03-22,20815.35,20899.0,20753.9,20781.35,83727177,33423100000.0,12.289604823,10.2519940223,-0.0113708407032
55,2017-03-23,20848.75,20934.75,20775.35,20895.5,60387250,23708200000.0,14.5526243261,12.1398059375,0.00547787490861
56,2017-03-24,20987.6,21174.1,20929.15,21122.55,124797100,34693800000.0,14.812161628,12.3563120747,0.0108073654029
57,2017-03-27,21178.1,21179.2,20979.55,21056.9,97615919,27249600000.0,15.9516387605,13.3068644252,-0.00311289279556
58,2017-03-28,21229.0,21264.95,21145.0,21225.4,95258847,30851100000.0,16.2229295319,13.533175312,0.00797028033012
